model,k,precision,recall,ndcg
random,5,0.010652173913043477,0.0038535942634902844,0.010908529876493303
random,10,0.0072826086956521655,0.005750198136279936,0.00778528577949183
random,20,0.008532608695652154,0.014390562564123587,0.012381530925953795
popular,5,0.08500000000000041,0.05039841238968855,0.09705435434608764
popular,10,0.07173913043478296,0.09156226195174377,0.09963969910410593
popular,20,0.0649999999999997,0.14665203202598534,0.1173077153690402
neumf,5,0.009347826086956524,0.0038378469904986525,0.009220037222725557
neumf,10,0.008152173913043468,0.006970484614796726,0.009369437734874276
neumf,20,0.008043478260869548,0.013730199954078513,0.011465914265145241
lstm,5,0.006521739130434786,0.0038146018594005923,0.007177216255509865
lstm,10,0.010108695652173899,0.006478082260104277,0.01073341468970609
lstm,20,0.008260869565217375,0.013791126364184706,0.010852360514118137
content,5,0.007608695652173917,0.003087736697967431,0.007877369273159511
content,10,0.010760869565217374,0.00989362390487588,0.012871605003451862
content,20,0.008641304347826067,0.014578986399397925,0.011570374414520643
